,id,fecha,hora,valor,estacion_id,estacion_nombre
0,101PP18071113,2018-07-11,13,96.0,101,Atemajac
1,101PP18071114,2018-07-11,14,0.0,101,Atemajac
2,101PP18071115,2018-07-11,15,0.0,101,Atemajac
3,101PP18071116,2018-07-11,16,0.0,101,Atemajac
4,101PP18071117,2018-07-11,17,0.0,101,Atemajac
5,101PP18071118,2018-07-11,18,0.0,101,Atemajac
6,101PP18071119,2018-07-11,19,0.0,101,Atemajac
7,101PP18071120,2018-07-11,20,0.0,101,Atemajac
8,101PP18071121,2018-07-11,21,0.0,101,Atemajac
9,101PP18071122,2018-07-11,22,0.1,101,Atemajac
10,101PP18071123,2018-07-11,23,0.0,101,Atemajac
11,101PP18071200,2018-07-12,0,0.0,101,Atemajac
12,101PP18071201,2018-07-12,1,0.0,101,Atemajac
13,101PP18071202,2018-07-12,2,0.0,101,Atemajac
14,101PP18071203,2018-07-12,3,0.0,101,Atemajac
15,101PP18071204,2018-07-12,4,0.0,101,Atemajac
16,101PP18071205,2018-07-12,5,0.0,101,Atemajac
17,101PP18071206,2018-07-12,6,0.0,101,Atemajac
18,101PP18071207,2018-07-12,7,0.0,101,Atemajac
19,101PP18071208,2018-07-12,8,0.0,101,Atemajac
20,101PP18071209,2018-07-12,9,0.0,101,Atemajac
21,101PP18071210,2018-07-12,10,0.0,101,Atemajac
22,101PP18071211,2018-07-12,11,0.0,101,Atemajac
23,101PP18071212,2018-07-12,12,0.0,101,Atemajac
24,101PP18071213,2018-07-12,13,0.0,101,Atemajac
25,101PP18071214,2018-07-12,14,0.0,101,Atemajac
26,101PP18071215,2018-07-12,15,0.0,101,Atemajac
27,101PP18071216,2018-07-12,16,0.0,101,Atemajac
28,101PP18071217,2018-07-12,17,1.1,101,Atemajac
29,101PP18071218,2018-07-12,18,0.0,101,Atemajac
30,101PP18071219,2018-07-12,19,0.0,101,Atemajac
31,101PP18071220,2018-07-12,20,0.0,101,Atemajac
